Fecha;Gasolina superior con aditivo;Gasolina superior;Gasolina regular;Diesel;Gas licuado
may-06;27.68;26.85;26.37;20.6;85.63
jun-06;27.44;26.77;26.26;20.69;85.6
jul-06;27.27;26.58;26.07;20.76;87.64
ago-06;28.83;28.12;27.62;21.56;93.23
sep-06;27.72;27.29;26.77;21.16;95.5
oct-06;25.43;24.73;24.25;19.91;95.59
nov-06;23.83;23.18;22.71;18.92;95.6
dic-06;23.87;23.15;22.64;18.81;95.57
ene-07;23.62;22.99;22.48;18.89;95.57
feb-07;22.65;22.04;21.52;17.89;95.56
mar-07;24;23.13;22.61;18.94;95.53
abr-07;26.35;25.53;25.01;20.48;95.5
may-07;28.4;27.59;26.99;21.08;96.09
jun-07;29.5;28.69;28.03;21.53;95.67
jul-07;29.19;28.41;27.77;21.62;100.43
ago-07;28.47;27.91;27.21;21.83;100.44
sep-07;27.81;27.16;26.21;21.54;100.44
oct-07;28.12;27.34;26.41;22.86;103.33
nov-07;29.15;28.24;27.3;25.16;117.81
dic-07;29.79;29.04;28.25;26.12;120.37
ene-08;29.55;28.89;28.28;26.24;120.37
feb-08;29.45;28.71;28.18;26.31;120.37
mar-08;30.83;30.04;29.55;28.04;121.33
abr-08;32.45;31.69;30.99;30.68;125.19
may-08;33.93;33.12;32.44;32.57;129.6
jun-08;36.39;35.51;34.82;36.4;131.78
jul-08;37.25;36.42;35.77;37.17;133.22
ago-08;36.62;35.78;35.12;35.34;133.6
sep-08;35.87;34.83;34.2;32.87;128.92
oct-08;32.48;31.29;30.48;29.35;118.26
nov-08;27.45;26.29;25.35;25.22;108.81
dic-08;23.8;22.55;21.81;21.21;102.73
ene-09;22.86;21.58;20.68;19.51;97.96
feb-09;22.71;21.35;20.46;18.35;90.48
mar-09;22.39;21.05;20.18;17.18;90.54
abr-09;23.05;21.57;20.67;17.68;90.49
may-09;24.24;22.81;21.89;19.81;90.49
jun-09;25.15;23.91;22.94;20.67;90.49
jul-09;27.73;26.56;25.57;20.75;90.49
ago-09;27.93;26.58;25.62;21.75;90.25
sep-09;28;26.71;25.76;21.86;90
oct-09;27.36;26.02;25.09;21.38;95
nov-09;29.17;27.73;26.76;23.5;110
dic-09;28.7;27.42;26.45;23.47;110
ene-10;29.62;28.36;27.43;24.49;110
feb-10;29.14;27.99;27.14;24.03;110
mar-10;30.71;29.39;28.29;24.29;110
abr-10;31.88;30.56;29.33;24.93;110
may-10;30.92;29.84;28.83;24.85;110
jun-10;29.19;28.03;27.04;23.18;110
jul-10;28.95;27.93;26.91;23.38;110
ago-10;29.24;28.13;27.13;23.6;110
sep-10;28.02;27.22;26.23;22.89;110
oct-10;29.91;28.8;27.8;24.83;110
nov-10;30.14;28.96;27.97;25.68;120
dic-10;31.08;29.82;28.84;26.88;120
ene-11;32.18;30.89;29.9;27.81;125
feb-11;32.9;31.86;30.9;28.69;130
mar-11;35.59;34.52;33.82;31.67;130
abr-11;36.43;35.47;34.9;32.52;130
may-11;36.33;35.61;35.03;32.27;130
jun-11;35.59;34.76;34.17;31.29;130
jul-11;36.04;34.97;34.39;31.48;130
ago-11;35.85;35.14;34.56;31.6;130
sep-11;35.61;34.74;34.15;31.17;128
oct-11;35;34.11;33.47;30.84;132.4
nov-11;35.43;34.56;33.93;32.22;136
dic-11;34.09;33.37;32.75;31.07;137
ene-12;33.88;33.22;32.57;31.12;136
